doc_id,advertisers_length,hash_value,advertiser_1,advertiser_2,advertiser_3,advertiser_4,advertiser_5,advertiser_1_adserver,advertiser_2_adserver,advertiser_3_adserver,advertiser_4_adserver,advertiser_5_adserver,advertiser_1_publisher,advertiser_2_publisher,advertiser_3_publisher,advertiser_4_publisher,advertiser_5_publisher,category_1_1,score_1_1,category_1_2,score_1_2,category_1_3,score_1_3,category_2_1,score_2_1,category_2_2,score_2_2,category_2_3,score_2_3,id,img_url,filename,img_text,popup_over_img,cropped_text,width,height,shape,domain,text_style,date_entry,discount_entry,call_to_action,contains_company_name,dominant_color_R,dominant_color_G,dominant_color_B,dominant_color_percentage,dominant_color_name,language,valid,intention,confidence_score
9cc14ffe_1_9,1,d33a0e01588bfcf9,cotswoldoutdoor.com,,,,,False,False,False,False,False,False,False,False,False,False,Style & Fashion,0.6285684009324434,Sports,0.3627233771012065,Travel,0.005638375236762235,Extreme Sports,0.4171303747489825,Men's Fashion,0.31835071124246217,Women's Fashion,0.18773015384135047,2521,http://ads3-d.adbl.io/static/img/2022-04-19/Automobiles/heraldscotland.com/9cc14ffe/1_9.png,d33a0e01588bfcf9_1_9.png,In pursuit of LASTING ADVENTURE COTSWOLD outdoor SNoW RoCK,0,0,728,90,Wide skyscraper,Travel,mixed,0,0,0,1,168.38430594293084,166.5732675391548,167.07825573911163,28.46,silver,en,1,quality,7.0
9cc14ffe_1_6,1,27c8842332f3b7bf,cotswoldoutdoor.com,,,,,False,False,False,False,False,False,False,False,False,False,Style & Fashion,0.6285684009324434,Sports,0.3627233771012065,Travel,0.005638375236762235,Extreme Sports,0.4171303747489825,Men's Fashion,0.31835071124246217,Women's Fashion,0.18773015384135047,2518,http://ads3-d.adbl.io/static/img/2022-04-19/Automobiles/heraldscotland.com/9cc14ffe/1_6.png,27c8842332f3b7bf_1_6.png,In pursuit of LASTING ADVENTURE COTSWOLD outdoor SNoW RoCK,0,0,300,250,Medium rectangle,Travel,mixed,0,0,0,1,240.1686214363013,238.30174124863842,237.79501984841946,29.56,white,en,1,quality,7.0
9cc14ffe_1_5,1,5a54f03e8f10e4af,cotswoldoutdoor.com,,,,,False,False,False,False,False,False,False,False,False,False,Style & Fashion,0.6285684009324434,Sports,0.3627233771012065,Travel,0.005638375236762235,Extreme Sports,0.4171303747489825,Men's Fashion,0.31835071124246217,Women's Fashion,0.18773015384135047,2517,http://ads3-d.adbl.io/static/img/2022-04-19/Automobiles/heraldscotland.com/9cc14ffe/1_5.png,5a54f03e8f10e4af_1_5.png,In pursuit of LASTING ADVENTURE COTSWOLD outdoor SNoW RoCK,0,0,300,600,Sidebar ad,Travel,mixed,0,0,0,1,247.6455274738237,246.65627555590282,246.7398068460816,28.53,white,en,1,quality,7.0
ad2ee986_1_9,2,7bbe9aac4d70a62e,medialead.de,telefonica-partner.de,,,,False,False,False,False,False,False,False,False,False,False,Business and Finance,0.978709081137828,Shopping,0.0074391712172851765,Family and Relationships,0.00386014710900553,Business,0.5041728437772862,Industries,0.4389389317758332,Economy,0.012785042848554298,1503,http://ads3-d.adbl.io/static/img/2022-04-21/Automobiles/stern.de/ad2ee986/1_9.png,7bbe9aac4d70a62e_1_9.png,"Jetzt schon bei Blau Hol dir das neue Samsung Galaxy A53 5G inkl. 4 GB LTE und Allnet Flat für nur 24,99€* mtl. blau.de Blau Preis-Leistungs-Tipp 100 MBit/s inkl. Telefon-Flat in das deutsche Festnetz schon für 24,99€ mtl.* o2online.de O2 Autokredit direkt! Mit dem Kfz-Kredit der Postbank haben Sie freie Fahrt postbank.de",0,0,300,250,Medium rectangle,Other,typed,0,0,0,1,254.31861034654045,254.3540235365543,254.3891549814729,61.52,white,de,1,corrupted,9.0
10cb46b2_1_2,1,e778ca175d534197,investoren-wissen.de,,,,,False,False,False,False,False,False,False,False,False,False,Business and Finance,0.7378314966212809,Personal Finance,0.12926810740497746,Automotive,0.020210888151397058,Economy,0.7029523329624052,Industries,0.03193850402664921,Insurance,0.014475024299081025,1168,http://ads3-d.adbl.io/static/img/2022-04-19/Automobiles/www.dnn.de/10cb46b2/1_2.png,e778ca175d534197_1_2.png,10 Trendprognosen für 2022 Investor-Verlag,0,0,300,250,Medium rectangle,Finance,typed,0,0,0,1,226.59487994550528,222.7215189873412,221.1457682919909,46.95,silver,de,1,time,7.0
10cb46b2_1_1,1,cb6b92dcebbb4311,investoren-wissen.de,,,,,False,False,False,False,False,False,False,False,False,False,Business and Finance,0.7378314966212809,Personal Finance,0.12926810740497746,Automotive,0.020210888151397058,Economy,0.7029523329624052,Industries,0.03193850402664921,Insurance,0.014475024299081025,1167,http://ads3-d.adbl.io/static/img/2022-04-19/Automobiles/www.dnn.de/10cb46b2/1_1.png,cb6b92dcebbb4311_1_1.png,10 Trendprognosen für 2022 Mit diesen Investments können Sie sich 2022 entspannt zurücklehnen - trotz Inflation Investor-Verlag Öffnen,0,0,970,250,Wide skyscraper,Finance,typed,0,0,1,1,253.282659752724,252.82116797952546,253.51909907770562,62.53,white,de,1,time,6.0
22029fef_1_1,1,24059eb28af5e6df,investoren-wissen.de,,,,,False,False,False,False,False,False,False,False,False,False,Business and Finance,0.7378314966212809,Personal Finance,0.12926810740497746,Automotive,0.020210888151397058,Economy,0.7029523329624052,Industries,0.03193850402664921,Insurance,0.014475024299081025,1149,http://ads3-d.adbl.io/static/img/2022-04-19/Automobiles/www.kn-online.de/22029fef/1_1.png,24059eb28af5e6df_1_1.png,10 Trendprognosen für 2022 Mit der antizylischen Strategie können Sie sich finanziell unabhängig machen Investor-Verlag Öffnen,0,0,970,250,Wide skyscraper,Finance,typed,0,0,1,1,252.09989453975555,251.63370918061653,252.11713984399432,88.76,white,de,1,time,6.0
e5ed36f8_1_1,1,8013c0997e5f2c23,investoren-wissen.de,,,,,False,False,False,False,False,False,False,False,False,False,Business and Finance,0.7378314966212809,Personal Finance,0.12926810740497746,Automotive,0.020210888151397058,Economy,0.7029523329624052,Industries,0.03193850402664921,Insurance,0.014475024299081025,651,http://ads3-d.adbl.io/static/img/2022-04-18/Automobiles/www.kn-online.de/e5ed36f8/1_1.png,8013c0997e5f2c23_1_1.png,10 Trendprognosen für 2022 Mit diesen Investments können Sie sich 2022 entspannt zurücklehnen - trotz Inflation Investor-Verlag Öffnen,0,0,970,250,Wide skyscraper,Finance,typed,0,0,1,1,252.0991149290588,251.61590524534992,252.11636079656532,88.71,white,de,1,time,6.0
01a7b118_1_1,1,b6423d0192f1536d,investoren-wissen.de,,,,,False,False,False,False,False,False,False,False,False,False,Business and Finance,0.7378314966212809,Personal Finance,0.12926810740497746,Automotive,0.020210888151397058,Economy,0.7029523329624052,Industries,0.03193850402664921,Insurance,0.014475024299081025,734,http://ads3-d.adbl.io/static/img/2022-04-18/Automobiles/www.maz-online.de/01a7b118/1_1.png,b6423d0192f1536d_1_1.png,Erfolgreich investieren in ETF Mit dieser Anlageklasse legen Sie Ihr Geld kostengünstig an Investor-Verlag Öffnen,0,0,970,250,Wide skyscraper,Finance,typed,0,0,1,1,252.0994628137533,251.62076039641013,252.11844030749253,89.05,white,de,1,price,5.0
92b2c115_1_1,1,54a719a03c038b53,tresoro.at,,,,,False,False,False,False,False,False,False,False,False,False,Business and Finance,0.33692113737659424,Personal Finance,0.1460357370749707,Automotive,0.12444610232330547,Industries,0.11290544411823095,Auto Safety,0.0640857646283557,Parenting,0.06180465943225445,1723,http://ads3-d.adbl.io/static/img/2022-04-21/Automobiles/leprogres.fr/92b2c115/1_1.png,54a719a03c038b53_1_1.png,"-19% 854,16€ -24% 599,90€ -17% 299,90c -20% 1329,90€ -17% tresoro.at Tresore günstig kaufen Tresoro.at",1,0,1000,250,4:1 Banner,Other,typed,0,1,0,1,252.63548253024345,252.3339553063538,252.98123469019416,45.23,white,fr,0,price,9.0
