,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,Accuracy
0,entropy,,sqrt,0.0,1000,0.8014063591893781
1,entropy,,,0.0,1000,0.7990478686233404
2,entropy,,10,0.0,1000,0.7990041928721174
3,entropy,,10,0.0,100,0.7944182389937108
4,entropy,,log2,0.0,1000,0.7944182389937107
5,gini,,10,0.0,1000,0.7943745632424878
6,entropy,,sqrt,0.0,100,0.7943745632424878
7,gini,,sqrt,0.0,1000,0.7943745632424878
8,gini,,10,0.0,100,0.7943308874912649
9,gini,,log2,0.0,1000,0.792059748427673
10,entropy,10.0,,0.0,1000,0.79201607267645
11,gini,10.0,10,0.0,1000,0.7919723969252271
12,entropy,,,0.0,100,0.791972396925227
13,entropy,10.0,log2,0.0,100,0.7897886093640811
14,entropy,10.0,log2,0.0,1000,0.7897449336128581
15,gini,10.0,10,0.0,100,0.7897012578616353
16,entropy,10.0,sqrt,0.0,1000,0.7897012578616351
17,entropy,10.0,10,0.0,1000,0.7896575821104124
18,gini,,sqrt,0.0,100,0.7896575821104124
19,gini,10.0,log2,0.0,1000,0.7874737945492662
20,entropy,10.0,sqrt,0.0,100,0.7873864430468204
21,entropy,,log2,0.0,100,0.7873864430468204
22,gini,,log2,0.0,100,0.7873864430468204
23,entropy,10.0,10,0.0,100,0.7873427672955975
24,entropy,10.0,,0.0,100,0.7850716282320056
25,gini,10.0,sqrt,0.0,1000,0.7850279524807826
26,entropy,5.0,10,0.0,1000,0.7850279524807826
27,gini,,,0.0,100,0.7849406009783368
28,entropy,5.0,10,0.0,100,0.7827131376659678
29,entropy,,,0.0,10,0.782669461914745
30,gini,4.0,10,0.0,1000,0.782669461914745
31,gini,5.0,10,0.0,1000,0.782669461914745
32,gini,10.0,,0.0,100,0.782669461914745
33,entropy,,10,0.0,10,0.782625786163522
34,gini,10.0,sqrt,0.0,10,0.782625786163522
35,gini,5.0,sqrt,0.0,1000,0.7803983228511531
36,gini,5.0,sqrt,0.0,100,0.7803983228511531
37,entropy,5.0,sqrt,0.0,1000,0.7803983228511531
38,gini,5.0,10,0.0,100,0.7803546470999301
39,entropy,10.0,,0.0,10,0.7803109713487072
40,gini,10.0,,0.0,1000,0.7803109713487072
41,gini,4.0,10,0.0,100,0.7803109713487072
42,entropy,,log2,0.0,10,0.7801799440950385
43,gini,5.0,,0.0,10,0.7780398322851153
44,gini,4.0,,0.0,10,0.7780398322851153
45,gini,10.0,sqrt,0.0,100,0.7779524807826694
46,entropy,10.0,log2,0.0,10,0.7779088050314465
47,gini,5.0,log2,0.0,1000,0.7757686932215234
48,gini,10.0,log2,0.0,100,0.7757686932215233
49,entropy,4.0,10,0.0,100,0.7756813417190775
50,entropy,4.0,10,0.0,1000,0.7756376659678547
51,entropy,10.0,sqrt,0.0,10,0.7734102026554857
52,gini,5.0,,0.0,100,0.7733665269042628
