,ccp_alpha,criterion,learning_rate,loss,max_depth,max_features,n_estimators,subsample,validation_fraction,Accuracy
0,0.0,friedman_mse,0.1,deviance,10.0,sqrt,100,0.5,0.9,0.803721174004193
1,0.0,friedman_mse,0.1,deviance,10.0,sqrt,100,0.5,0.1,0.803721174004193
2,0.0,friedman_mse,0.1,deviance,10.0,sqrt,100,0.5,0.01,0.803721174004193
3,0.0,squared_error,0.01,deviance,3.0,auto,1000,0.5,0.9,0.7991352201257862
4,0.0,friedman_mse,0.01,deviance,3.0,auto,1000,0.5,0.01,0.7991352201257862
5,0.0,friedman_mse,0.01,deviance,3.0,auto,1000,0.5,0.9,0.7991352201257862
6,0.0,squared_error,0.01,deviance,3.0,auto,1000,0.5,0.01,0.7991352201257862
7,0.0,squared_error,0.01,deviance,3.0,auto,1000,0.5,0.1,0.7991352201257862
8,0.0,friedman_mse,0.01,deviance,3.0,auto,1000,0.5,0.1,0.7991352201257862
9,0.0,squared_error,0.01,deviance,3.0,sqrt,1000,1.0,0.01,0.7990041928721174
10,0.0,friedman_mse,0.01,deviance,10.0,auto,100,0.5,0.01,0.7990041928721174
11,0.0,squared_error,0.01,deviance,3.0,sqrt,1000,1.0,0.1,0.7990041928721174
12,0.0,friedman_mse,0.01,deviance,10.0,auto,100,0.5,0.1,0.7990041928721174
13,0.0,friedman_mse,0.01,deviance,10.0,auto,100,0.5,0.9,0.7990041928721174
14,0.0,squared_error,0.01,deviance,3.0,sqrt,1000,1.0,0.9,0.7990041928721174
15,0.0,squared_error,0.01,deviance,,sqrt,100,1.0,0.01,0.7967767295597484
16,0.0,squared_error,0.01,deviance,,sqrt,100,1.0,0.1,0.7967767295597484
17,0.0,squared_error,0.01,deviance,,sqrt,100,1.0,0.9,0.7967767295597484
18,0.0,friedman_mse,0.1,deviance,10.0,log2,1000,1.0,0.1,0.7967330538085255
19,0.0,friedman_mse,0.1,deviance,10.0,log2,1000,1.0,0.01,0.7967330538085255
20,0.0,squared_error,0.01,deviance,3.0,log2,1000,0.5,0.9,0.7967330538085255
21,0.0,friedman_mse,0.01,deviance,,auto,1000,0.5,0.9,0.7967330538085255
22,0.0,squared_error,0.01,deviance,3.0,log2,1000,0.5,0.01,0.7967330538085255
23,0.0,squared_error,0.01,deviance,3.0,log2,1000,0.5,0.1,0.7967330538085255
24,0.0,friedman_mse,0.01,deviance,,auto,1000,0.5,0.01,0.7967330538085255
25,0.0,squared_error,0.01,deviance,10.0,auto,1000,0.5,0.9,0.7967330538085255
26,0.0,friedman_mse,0.1,deviance,10.0,log2,1000,1.0,0.9,0.7967330538085255
27,0.0,friedman_mse,0.01,deviance,,auto,1000,0.5,0.1,0.7967330538085255
28,0.0,squared_error,0.01,deviance,10.0,auto,1000,0.5,0.1,0.7967330538085255
29,0.0,squared_error,0.01,deviance,10.0,auto,1000,0.5,0.01,0.7967330538085255
30,0.0,friedman_mse,0.01,deviance,,auto,100,0.5,0.9,0.7966893780573026
31,0.0,squared_error,0.1,deviance,,auto,10,0.5,0.1,0.7966893780573026
32,0.0,friedman_mse,0.01,deviance,,auto,100,0.5,0.01,0.7966893780573026
33,0.0,squared_error,0.01,deviance,,auto,100,0.5,0.9,0.7966893780573026
34,0.0,squared_error,0.1,deviance,10.0,sqrt,1000,1.0,0.9,0.7966893780573026
35,0.0,squared_error,0.01,deviance,,auto,100,0.5,0.1,0.7966893780573026
36,0.0,squared_error,0.1,deviance,,auto,10,0.5,0.01,0.7966893780573026
37,0.0,squared_error,0.1,deviance,,auto,10,0.5,0.9,0.7966893780573026
38,0.0,squared_error,0.1,deviance,10.0,sqrt,1000,1.0,0.1,0.7966893780573026
39,0.0,squared_error,0.01,deviance,,auto,100,0.5,0.01,0.7966893780573026
40,0.0,friedman_mse,0.01,deviance,,auto,100,0.5,0.1,0.7966893780573026
41,0.0,squared_error,0.1,deviance,10.0,sqrt,1000,1.0,0.01,0.7966893780573026
42,0.0,friedman_mse,0.01,deviance,3.0,sqrt,1000,1.0,0.9,0.7966457023060797
43,0.0,friedman_mse,0.01,deviance,3.0,sqrt,1000,1.0,0.1,0.7966457023060797
44,0.0,friedman_mse,0.01,deviance,3.0,sqrt,1000,1.0,0.01,0.7966457023060797
45,0.0,friedman_mse,0.1,deviance,3.0,log2,1000,1.0,0.01,0.7966457023060797
46,0.0,squared_error,0.01,deviance,3.0,log2,1000,1.0,0.9,0.7966457023060797
47,0.0,friedman_mse,0.1,deviance,3.0,log2,1000,1.0,0.9,0.7966457023060797
48,0.0,squared_error,0.01,deviance,3.0,log2,1000,1.0,0.1,0.7966457023060797
49,0.0,squared_error,0.01,deviance,3.0,log2,1000,1.0,0.01,0.7966457023060797
50,0.0,friedman_mse,0.1,deviance,3.0,log2,1000,1.0,0.1,0.7966457023060797
51,0.0,friedman_mse,0.1,deviance,3.0,log2,1000,0.5,0.9,0.7966020265548568
52,0.0,friedman_mse,0.1,deviance,3.0,log2,1000,0.5,0.1,0.7966020265548568
53,0.0,friedman_mse,0.1,deviance,3.0,log2,1000,0.5,0.01,0.7966020265548568
54,0.0,friedman_mse,1.0,deviance,10.0,sqrt,100,1.0,0.9,0.7966020265548568
55,0.0,friedman_mse,1.0,deviance,10.0,sqrt,100,1.0,0.1,0.7966020265548568
56,0.0,friedman_mse,1.0,deviance,10.0,sqrt,100,1.0,0.01,0.7966020265548568
57,0.0,friedman_mse,1.0,deviance,10.0,sqrt,1000,1.0,0.1,0.7966020265548568
58,0.0,friedman_mse,1.0,deviance,10.0,sqrt,1000,1.0,0.01,0.7966020265548568
59,0.0,friedman_mse,1.0,deviance,10.0,sqrt,1000,1.0,0.9,0.7966020265548568
60,0.0,squared_error,0.01,deviance,,log2,100,0.5,0.1,0.7945055904961565
61,0.0,squared_error,0.01,deviance,,log2,100,0.5,0.01,0.7945055904961565
62,0.0,squared_error,0.01,deviance,,log2,100,0.5,0.9,0.7945055904961565
63,0.0,friedman_mse,0.1,deviance,,sqrt,10,0.5,0.9,0.7945055904961564
64,0.0,friedman_mse,0.1,deviance,,sqrt,10,0.5,0.1,0.7945055904961564
65,0.0,friedman_mse,0.1,deviance,,sqrt,10,0.5,0.01,0.7945055904961564
66,0.0,friedman_mse,0.01,deviance,,sqrt,100,1.0,0.1,0.7944619147449337
67,0.0,squared_error,0.01,deviance,,sqrt,100,0.5,0.9,0.7944619147449337
68,0.0,friedman_mse,0.01,deviance,,sqrt,100,1.0,0.9,0.7944619147449337
69,0.0,friedman_mse,0.01,deviance,,sqrt,100,1.0,0.01,0.7944619147449337
70,0.0,squared_error,0.01,deviance,,sqrt,100,0.5,0.1,0.7944619147449337
71,0.0,squared_error,0.1,deviance,3.0,auto,1000,0.5,0.01,0.7944619147449337
72,0.0,squared_error,0.01,deviance,,sqrt,100,0.5,0.01,0.7944619147449337
73,0.0,squared_error,0.1,deviance,3.0,auto,1000,0.5,0.1,0.7944619147449337
74,0.0,squared_error,0.1,deviance,3.0,auto,1000,0.5,0.9,0.7944619147449337
75,0.0,friedman_mse,0.1,deviance,3.0,sqrt,100,0.5,0.01,0.7944182389937108
76,0.0,friedman_mse,0.1,deviance,3.0,sqrt,100,0.5,0.1,0.7944182389937108
77,0.0,friedman_mse,0.1,deviance,3.0,sqrt,100,0.5,0.9,0.7944182389937108
78,0.0,friedman_mse,0.01,deviance,,sqrt,100,0.5,0.01,0.7944182389937107
79,0.0,friedman_mse,0.01,deviance,3.0,log2,1000,0.5,0.9,0.7944182389937107
80,0.0,friedman_mse,0.01,deviance,3.0,log2,1000,0.5,0.1,0.7944182389937107
81,0.0,friedman_mse,0.01,deviance,,sqrt,100,0.5,0.1,0.7944182389937107
82,0.0,friedman_mse,0.01,deviance,,sqrt,100,0.5,0.9,0.7944182389937107
83,0.0,squared_error,0.1,deviance,,sqrt,10,1.0,0.1,0.7944182389937107
84,0.0,squared_error,0.1,deviance,,sqrt,10,1.0,0.9,0.7944182389937107
85,0.0,friedman_mse,0.01,deviance,3.0,log2,1000,0.5,0.01,0.7944182389937107
86,0.0,squared_error,0.1,deviance,,sqrt,10,1.0,0.01,0.7944182389937107
87,0.0,squared_error,0.01,deviance,10.0,auto,100,0.5,0.9,0.7943745632424878
88,0.0,squared_error,0.01,deviance,,auto,1000,0.5,0.9,0.7943745632424878
89,0.0,squared_error,0.01,deviance,,auto,1000,0.5,0.1,0.7943745632424878
90,0.0,friedman_mse,0.01,deviance,10.0,auto,1000,0.5,0.01,0.7943745632424878
91,0.0,friedman_mse,0.01,deviance,10.0,auto,1000,0.5,0.1,0.7943745632424878
92,0.0,friedman_mse,0.01,deviance,10.0,auto,1000,0.5,0.9,0.7943745632424878
93,0.0,squared_error,0.01,deviance,,auto,1000,0.5,0.01,0.7943745632424878
94,0.0,squared_error,0.01,deviance,10.0,auto,100,0.5,0.01,0.7943745632424878
95,0.0,squared_error,0.01,deviance,10.0,auto,100,0.5,0.1,0.7943745632424878
96,0.0,squared_error,0.1,deviance,10.0,sqrt,10,1.0,0.01,0.7943308874912649
97,0.0,squared_error,0.1,deviance,10.0,sqrt,10,1.0,0.1,0.7943308874912649
98,0.0,squared_error,0.1,deviance,10.0,sqrt,10,1.0,0.9,0.7943308874912649
99,0.0,friedman_mse,0.01,deviance,3.0,log2,1000,1.0,0.9,0.7943308874912648
100,0.0,friedman_mse,0.1,deviance,10.0,auto,100,0.5,0.9,0.7943308874912648
101,0.0,friedman_mse,0.1,deviance,10.0,auto,100,0.5,0.1,0.7943308874912648
102,0.0,friedman_mse,0.1,deviance,10.0,auto,100,0.5,0.01,0.7943308874912648
103,0.0,friedman_mse,0.01,deviance,3.0,log2,1000,1.0,0.01,0.7943308874912648
104,0.0,friedman_mse,0.01,deviance,3.0,log2,1000,1.0,0.1,0.7943308874912648
105,0.0,squared_error,0.1,deviance,10.0,auto,100,0.5,0.01,0.7942435359888189
106,0.0,squared_error,0.1,deviance,10.0,auto,100,0.5,0.9,0.7942435359888189
107,0.0,squared_error,0.1,deviance,10.0,auto,100,0.5,0.1,0.7942435359888189
108,0.0,squared_error,1.0,deviance,10.0,log2,1000,1.0,0.01,0.7941998602375961
109,0.0,squared_error,1.0,deviance,10.0,log2,100,1.0,0.9,0.7941998602375961
110,0.0,squared_error,1.0,deviance,10.0,log2,100,1.0,0.1,0.7941998602375961
111,0.0,squared_error,1.0,deviance,10.0,log2,100,1.0,0.01,0.7941998602375961
112,0.0,squared_error,1.0,deviance,10.0,log2,1000,1.0,0.1,0.7941998602375961
113,0.0,squared_error,1.0,deviance,10.0,log2,1000,1.0,0.9,0.7941998602375961
114,0.0,squared_error,0.01,deviance,10.0,sqrt,100,0.5,0.9,0.7921470999301188
115,0.0,friedman_mse,0.01,deviance,,log2,100,0.5,0.9,0.7921470999301188
116,0.0,squared_error,0.01,deviance,10.0,sqrt,100,0.5,0.1,0.7921470999301188
117,0.0,squared_error,0.01,deviance,10.0,sqrt,100,0.5,0.01,0.7921470999301188
118,0.0,friedman_mse,0.01,deviance,,log2,100,0.5,0.01,0.7921470999301188
119,0.0,friedman_mse,0.01,deviance,,log2,100,0.5,0.1,0.7921470999301188
120,0.0,friedman_mse,0.1,deviance,3.0,auto,100,0.5,0.01,0.792103424178896
121,0.0,friedman_mse,0.1,deviance,3.0,auto,100,0.5,0.9,0.792103424178896
122,0.0,friedman_mse,0.1,deviance,3.0,auto,100,0.5,0.1,0.792103424178896
123,0.0,squared_error,0.1,deviance,3.0,sqrt,100,0.5,0.9,0.792059748427673
124,0.0,squared_error,0.1,deviance,3.0,sqrt,100,0.5,0.01,0.792059748427673
125,0.0,friedman_mse,0.01,deviance,,log2,1000,1.0,0.01,0.792059748427673
126,0.0,friedman_mse,0.1,deviance,3.0,sqrt,1000,1.0,0.01,0.792059748427673
127,0.0,squared_error,0.1,deviance,3.0,sqrt,100,0.5,0.1,0.792059748427673
