,max_iter_predict,multi_class,n_restarts_optimizer,Accuracy
0,100,one_vs_rest,0,0.728948287910552
1,100,one_vs_rest,1,0.728948287910552
2,700,one_vs_one,0,0.728948287910552
3,700,one_vs_rest,100,0.728948287910552
4,700,one_vs_rest,10,0.728948287910552
5,700,one_vs_rest,1,0.728948287910552
6,700,one_vs_rest,0,0.728948287910552
7,600,one_vs_one,100,0.728948287910552
8,600,one_vs_one,10,0.728948287910552
9,600,one_vs_one,1,0.728948287910552
10,600,one_vs_one,0,0.728948287910552
11,600,one_vs_rest,100,0.728948287910552
12,600,one_vs_rest,10,0.728948287910552
13,600,one_vs_rest,1,0.728948287910552
14,600,one_vs_rest,0,0.728948287910552
15,500,one_vs_one,100,0.728948287910552
16,500,one_vs_one,10,0.728948287910552
17,700,one_vs_one,1,0.728948287910552
18,700,one_vs_one,10,0.728948287910552
19,700,one_vs_one,100,0.728948287910552
20,900,one_vs_rest,0,0.728948287910552
21,900,one_vs_one,10,0.728948287910552
22,900,one_vs_one,1,0.728948287910552
23,900,one_vs_one,0,0.728948287910552
24,900,one_vs_rest,100,0.728948287910552
25,900,one_vs_rest,10,0.728948287910552
26,900,one_vs_rest,1,0.728948287910552
27,800,one_vs_one,100,0.728948287910552
28,800,one_vs_rest,0,0.728948287910552
29,800,one_vs_one,10,0.728948287910552
30,800,one_vs_one,1,0.728948287910552
31,800,one_vs_one,0,0.728948287910552
32,800,one_vs_rest,100,0.728948287910552
33,800,one_vs_rest,10,0.728948287910552
34,800,one_vs_rest,1,0.728948287910552
35,500,one_vs_one,1,0.728948287910552
36,500,one_vs_one,0,0.728948287910552
37,500,one_vs_rest,100,0.728948287910552
38,200,one_vs_rest,1,0.728948287910552
39,200,one_vs_one,100,0.728948287910552
40,200,one_vs_one,10,0.728948287910552
41,200,one_vs_one,1,0.728948287910552
42,200,one_vs_one,0,0.728948287910552
43,200,one_vs_rest,100,0.728948287910552
44,200,one_vs_rest,10,0.728948287910552
45,200,one_vs_rest,0,0.728948287910552
46,300,one_vs_rest,1,0.728948287910552
47,100,one_vs_one,100,0.728948287910552
48,100,one_vs_one,10,0.728948287910552
49,100,one_vs_one,1,0.728948287910552
50,100,one_vs_one,0,0.728948287910552
51,100,one_vs_rest,100,0.728948287910552
52,100,one_vs_rest,10,0.728948287910552
53,300,one_vs_rest,0,0.728948287910552
54,300,one_vs_rest,10,0.728948287910552
55,500,one_vs_rest,10,0.728948287910552
56,400,one_vs_rest,100,0.728948287910552
57,500,one_vs_rest,1,0.728948287910552
58,500,one_vs_rest,0,0.728948287910552
59,400,one_vs_one,100,0.728948287910552
60,400,one_vs_one,10,0.728948287910552
61,400,one_vs_one,1,0.728948287910552
62,400,one_vs_one,0,0.728948287910552
63,400,one_vs_rest,10,0.728948287910552
64,300,one_vs_rest,100,0.728948287910552
65,400,one_vs_rest,1,0.728948287910552
66,400,one_vs_rest,0,0.728948287910552
67,300,one_vs_one,100,0.728948287910552
68,300,one_vs_one,10,0.728948287910552
69,300,one_vs_one,1,0.728948287910552
70,300,one_vs_one,0,0.728948287910552
71,900,one_vs_one,100,0.728948287910552
