,C,coef0,decision_function_shape,gamma,kernel,Accuracy
0,2.0,3.0,ovr,0.01,rbf,0.7803109713487072
1,2.0,2.0,ovr,0.01,rbf,0.7803109713487072
2,2.0,3.0,ovo,0.01,rbf,0.7803109713487072
3,1.0,0.0,ovr,0.01,rbf,0.7803109713487072
4,2.0,0.0,ovr,0.01,rbf,0.7803109713487072
5,5.0,3.0,ovr,0.001,rbf,0.7803109713487072
6,5.0,3.0,ovo,0.001,rbf,0.7803109713487072
7,1.0,1.0,ovo,0.01,rbf,0.7803109713487072
8,2.0,1.0,ovo,0.01,rbf,0.7803109713487072
9,2.0,0.0,ovo,0.01,rbf,0.7803109713487072
10,5.0,2.0,ovr,0.001,rbf,0.7803109713487072
11,5.0,0.0,ovo,0.001,rbf,0.7803109713487072
12,5.0,2.0,ovo,0.001,rbf,0.7803109713487072
13,2.0,2.0,ovo,0.01,rbf,0.7803109713487072
14,5.0,0.0,ovr,0.001,rbf,0.7803109713487072
15,5.0,1.0,ovo,0.001,rbf,0.7803109713487072
16,5.0,1.0,ovr,0.001,rbf,0.7803109713487072
17,2.0,1.0,ovr,0.01,rbf,0.7803109713487072
18,1.0,2.0,ovr,0.01,rbf,0.7803109713487072
19,1.0,3.0,ovo,0.01,rbf,0.7803109713487072
20,1.0,2.0,ovo,0.01,rbf,0.7803109713487072
21,1.0,0.0,ovo,0.01,rbf,0.7803109713487072
22,1.0,3.0,ovr,0.01,rbf,0.7803109713487072
23,1.0,1.0,ovr,0.01,rbf,0.7803109713487072
24,3.0,3.0,ovo,0.01,rbf,0.7779961565338924
25,3.0,3.0,ovr,0.01,rbf,0.7779961565338924
26,3.0,1.0,ovo,0.01,rbf,0.7779961565338924
27,3.0,1.0,ovr,0.01,rbf,0.7779961565338924
28,3.0,2.0,ovo,0.01,rbf,0.7779961565338924
29,3.0,0.0,ovo,0.01,rbf,0.7779961565338924
30,3.0,0.0,ovr,0.01,rbf,0.7779961565338924
31,3.0,2.0,ovr,0.01,rbf,0.7779961565338924
32,6.0,0.0,ovo,0.001,sigmoid,0.7779524807826694
33,8.0,0.0,ovo,0.001,sigmoid,0.7779524807826694
34,6.0,3.0,ovr,0.001,rbf,0.7779524807826694
35,2.0,1.0,ovr,0.001,poly,0.7779524807826694
36,3.0,0.0,ovr,0.001,rbf,0.7779524807826694
37,6.0,3.0,ovo,0.001,rbf,0.7779524807826694
38,6.0,2.0,ovo,0.001,rbf,0.7779524807826694
39,7.0,0.0,ovo,0.001,sigmoid,0.7779524807826694
40,6.0,1.0,ovr,0.001,rbf,0.7779524807826694
41,6.0,0.0,ovo,0.001,rbf,0.7779524807826694
42,2.0,1.0,ovo,0.001,poly,0.7779524807826694
43,6.0,1.0,ovo,0.001,rbf,0.7779524807826694
44,8.0,0.0,ovr,0.001,sigmoid,0.7779524807826694
45,6.0,0.0,ovr,0.001,sigmoid,0.7779524807826694
46,6.0,0.0,ovr,0.001,rbf,0.7779524807826694
47,7.0,0.0,ovr,0.001,sigmoid,0.7779524807826694
48,6.0,2.0,ovr,0.001,rbf,0.7779524807826694
49,3.0,1.0,ovr,0.001,poly,0.7779524807826694
50,4.0,1.0,ovo,0.001,rbf,0.7779524807826694
51,3.0,2.0,ovo,0.001,rbf,0.7779524807826694
52,3.0,1.0,ovo,0.001,rbf,0.7779524807826694
53,3.0,1.0,ovr,0.001,rbf,0.7779524807826694
54,3.0,1.0,ovo,0.001,poly,0.7779524807826694
55,3.0,3.0,ovo,0.001,rbf,0.7779524807826694
56,3.0,3.0,ovr,0.001,rbf,0.7779524807826694
57,4.0,0.0,ovo,0.001,rbf,0.7779524807826694
58,4.0,0.0,ovr,0.001,rbf,0.7779524807826694
59,1.0,0.0,ovo,0.01,sigmoid,0.7779524807826694
60,3.0,2.0,ovr,0.001,rbf,0.7779524807826694
61,3.0,0.0,ovo,0.001,rbf,0.7779524807826694
62,4.0,2.0,ovr,0.001,rbf,0.7779524807826694
63,1.0,0.0,ovr,0.01,sigmoid,0.7779524807826694
64,4.0,2.0,ovo,0.001,rbf,0.7779524807826694
65,4.0,3.0,ovr,0.001,rbf,0.7779524807826694
66,4.0,3.0,ovo,0.001,rbf,0.7779524807826694
67,4.0,1.0,ovr,0.001,rbf,0.7779524807826694
68,4.0,2.0,ovr,0.01,rbf,0.7756813417190775
69,4.0,3.0,ovr,0.01,rbf,0.7756813417190775
70,4.0,3.0,ovo,0.01,rbf,0.7756813417190775
71,4.0,1.0,ovo,0.01,rbf,0.7756813417190775
72,4.0,2.0,ovo,0.01,rbf,0.7756813417190775
73,4.0,0.0,ovo,0.01,rbf,0.7756813417190775
74,4.0,1.0,ovr,0.01,rbf,0.7756813417190775
75,4.0,0.0,ovr,0.01,rbf,0.7756813417190775
76,1.0,2.0,ovo,0.001,poly,0.7756376659678547
77,1.0,2.0,ovr,0.001,poly,0.7756376659678547
78,5.0,0.0,ovo,0.01,sigmoid,0.7755939902166317
79,5.0,0.0,ovr,0.01,sigmoid,0.7755939902166317
80,7.0,2.0,ovo,3.0,linear,0.7733665269042628
81,7.0,2.0,ovr,0.01,linear,0.7733665269042628
82,7.0,1.0,ovr,0.01,linear,0.7733665269042628
83,1.0,3.0,ovo,1.0,linear,0.7733665269042628
84,7.0,1.0,ovr,0.1,linear,0.7733665269042628
85,7.0,2.0,ovr,0.5,linear,0.7733665269042628
86,7.0,2.0,ovr,0.1,linear,0.7733665269042628
87,7.0,1.0,ovr,0.5,linear,0.7733665269042628
88,7.0,1.0,ovr,1.0,linear,0.7733665269042628
89,1.0,3.0,ovo,0.5,linear,0.7733665269042628
90,7.0,1.0,ovr,3.0,linear,0.7733665269042628
91,7.0,2.0,ovo,0.001,linear,0.7733665269042628
92,7.0,2.0,ovo,1.0,linear,0.7733665269042628
93,1.0,3.0,ovo,0.1,linear,0.7733665269042628
94,1.0,2.0,ovr,1.0,linear,0.7733665269042628
95,7.0,2.0,ovr,0.001,linear,0.7733665269042628
96,1.0,3.0,ovo,0.01,linear,0.7733665269042628
97,1.0,3.0,ovo,3.0,linear,0.7733665269042628
98,7.0,2.0,ovo,0.01,linear,0.7733665269042628
99,7.0,2.0,ovo,0.1,linear,0.7733665269042628
100,1.0,3.0,ovo,0.001,linear,0.7733665269042628
101,7.0,2.0,ovo,0.5,linear,0.7733665269042628
102,1.0,2.0,ovr,3.0,linear,0.7733665269042628
103,7.0,1.0,ovo,0.001,linear,0.7733665269042628
104,7.0,1.0,ovr,0.001,linear,0.7733665269042628
105,7.0,1.0,ovo,3.0,linear,0.7733665269042628
106,7.0,2.0,ovr,1.0,linear,0.7733665269042628
107,7.0,0.0,ovo,0.001,linear,0.7733665269042628
108,7.0,0.0,ovo,0.01,linear,0.7733665269042628
109,7.0,0.0,ovo,0.1,linear,0.7733665269042628
110,7.0,0.0,ovo,0.5,linear,0.7733665269042628
111,7.0,0.0,ovo,1.0,linear,0.7733665269042628
112,7.0,0.0,ovo,3.0,linear,0.7733665269042628
113,7.0,0.0,ovr,0.001,linear,0.7733665269042628
114,1.0,3.0,ovr,3.0,linear,0.7733665269042628
115,7.0,0.0,ovr,0.01,linear,0.7733665269042628
116,7.0,0.0,ovr,0.1,linear,0.7733665269042628
117,1.0,3.0,ovr,1.0,linear,0.7733665269042628
118,7.0,0.0,ovr,0.5,linear,0.7733665269042628
119,7.0,0.0,ovr,1.0,linear,0.7733665269042628
120,7.0,0.0,ovr,3.0,linear,0.7733665269042628
121,1.0,3.0,ovr,0.5,linear,0.7733665269042628
122,1.0,3.0,ovr,0.1,linear,0.7733665269042628
123,7.0,1.0,ovo,0.01,linear,0.7733665269042628
124,1.0,3.0,ovr,0.01,linear,0.7733665269042628
125,7.0,1.0,ovo,0.1,linear,0.7733665269042628
