,algorithm,learning_rate,n_estimators,Accuracy
0,SAMME,0.1,1000,0.7545422781271838
1,SAMME,0.5,100,0.7475104821802935
2,SAMME,1.0,50,0.7474668064290706
3,SAMME,1.0,100,0.7381638714185884
4,SAMME,0.5,50,0.7358490566037735
5,SAMME,0.5,1000,0.7193832983927324
6,SAMME,0.1,50,0.6985062893081762
7,SAMME,0.1,100,0.6985062893081762
8,SAMME,1.0,1000,0.6889412997903563
9,SAMME.R,0.1,100,0.6590234102026555
10,SAMME.R,1.0,50,0.6587613556953179
11,SAMME.R,0.5,50,0.656533892382949
12,SAMME,2.0,1000,0.656490216631726
13,SAMME.R,2.0,1,0.6423829489867225
14,SAMME.R,1.0,1,0.6423829489867225
15,SAMME.R,0.5,1,0.6423829489867225
16,SAMME,0.1,1,0.6423829489867225
17,SAMME.R,0.1,1,0.6423829489867225
18,SAMME,2.0,1,0.6423829489867225
19,SAMME,1.0,1,0.6423829489867225
20,SAMME,0.5,1,0.6423829489867225
21,SAMME.R,0.5,100,0.6401554856743537
22,SAMME,2.0,100,0.6356132075471698
23,SAMME.R,0.1,50,0.6309835779175401
24,SAMME,2.0,50,0.6281446540880503
25,SAMME.R,1.0,100,0.612246680642907
26,SAMME.R,0.5,1000,0.6074423480083857
27,SAMME.R,0.1,1000,0.6049528301886793
28,SAMME.R,1.0,1000,0.5933787561146051
29,SAMME.R,2.0,100,0.5775244584206849
30,SAMME.R,2.0,1000,0.5520614954577219
31,SAMME.R,2.0,50,0.5474318658280923
