,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,solver,Accuracy
0,relu,1.0,"(100,)",adaptive,0.001,200,adam,0.7758560447239693
1,relu,1.0,"(100,)",invscaling,0.001,200,adam,0.7758560447239693
2,relu,1.0,"(100,)",constant,0.001,200,adam,0.7758560447239693
3,logistic,0.01,"(20,)",constant,0.01,100,adam,0.7733665269042628
4,logistic,0.01,"(20,)",invscaling,0.01,100,adam,0.7733665269042628
5,logistic,0.01,"(20,)",adaptive,0.01,100,adam,0.7733665269042628
6,logistic,0.01,"(20,)",invscaling,0.01,200,adam,0.7731918238993711
7,logistic,0.01,"(20,)",adaptive,0.01,200,adam,0.7731918238993711
8,logistic,0.01,"(20,)",constant,0.01,200,adam,0.7731918238993711
9,tanh,1.0,"(100,)",adaptive,0.1,100,sgd,0.7689116002795249
10,tanh,1.0,"(100,)",constant,0.1,100,sgd,0.7689116002795249
11,relu,0.1,"(100,)",invscaling,0.001,200,adam,0.7688679245283019
12,relu,0.1,"(100,)",adaptive,0.001,200,adam,0.7688679245283019
13,relu,0.1,"(100,)",constant,0.001,200,adam,0.7688679245283019
14,relu,1e-05,"(100,)",invscaling,0.001,200,adam,0.7688242487770789
15,relu,0.001,"(100,)",adaptive,0.001,200,adam,0.7688242487770789
16,relu,1e-05,"(100,)",constant,0.001,200,adam,0.7688242487770789
17,relu,1e-05,"(100,)",adaptive,0.001,200,adam,0.7688242487770789
18,relu,0.001,"(100,)",constant,0.001,200,adam,0.7688242487770789
19,relu,0.001,"(100,)",invscaling,0.001,200,adam,0.7688242487770789
20,logistic,0.001,"(20,)",constant,0.01,100,adam,0.7686495457721872
21,logistic,0.001,"(20,)",invscaling,0.01,100,adam,0.7686495457721872
22,logistic,0.001,"(20,)",adaptive,0.01,100,adam,0.7686495457721872
23,logistic,1e-05,"(20,)",invscaling,0.01,200,adam,0.7686058700209644
24,logistic,1e-05,"(20,)",adaptive,0.01,200,adam,0.7686058700209644
25,logistic,0.0001,"(20,)",invscaling,0.01,200,adam,0.7686058700209644
26,logistic,0.001,"(20,)",adaptive,0.01,200,adam,0.7686058700209644
27,logistic,0.001,"(20,)",constant,0.01,200,adam,0.7686058700209644
28,logistic,0.001,"(20,)",invscaling,0.01,200,adam,0.7686058700209644
29,logistic,0.0001,"(20,)",adaptive,0.01,200,adam,0.7686058700209644
30,logistic,0.0001,"(20,)",constant,0.01,200,adam,0.7686058700209644
31,logistic,1e-05,"(20,)",constant,0.01,200,adam,0.7686058700209644
32,tanh,1.0,"(100,)",constant,0.01,1000,sgd,0.766553109713487
