,algorithm,leaf_size,n_neighbors,p,weights,Accuracy
0,auto,51,3,2,uniform,0.7966457023060797
1,auto,91,3,2,uniform,0.7966457023060797
2,kd_tree,21,3,2,uniform,0.7966457023060797
3,ball_tree,41,3,2,uniform,0.7966457023060797
4,kd_tree,51,3,2,uniform,0.7966457023060797
5,brute,91,3,2,uniform,0.7966457023060797
6,auto,41,3,2,uniform,0.7966457023060797
7,ball_tree,71,3,2,uniform,0.7966457023060797
8,brute,21,3,2,uniform,0.7966457023060797
9,ball_tree,1,3,2,uniform,0.7966457023060797
10,kd_tree,91,3,2,uniform,0.7966457023060797
11,ball_tree,31,3,2,uniform,0.7966457023060797
12,ball_tree,91,3,2,uniform,0.7966457023060797
13,auto,31,3,2,uniform,0.7966457023060797
14,kd_tree,31,3,2,uniform,0.7966457023060797
15,brute,81,3,2,uniform,0.7966457023060797
16,ball_tree,11,3,2,uniform,0.7966457023060797
17,ball_tree,81,3,2,uniform,0.7966457023060797
18,brute,11,3,2,uniform,0.7966457023060797
19,kd_tree,41,3,2,uniform,0.7966457023060797
20,brute,1,3,2,uniform,0.7966457023060797
21,ball_tree,21,3,2,uniform,0.7966457023060797
22,auto,11,3,2,uniform,0.7966457023060797
23,brute,31,3,2,uniform,0.7966457023060797
24,auto,61,3,2,uniform,0.7966457023060797
25,ball_tree,51,3,2,uniform,0.7966457023060797
26,auto,21,3,2,uniform,0.7966457023060797
27,auto,1,3,2,uniform,0.7966457023060797
28,brute,51,3,2,uniform,0.7966457023060797
29,ball_tree,61,3,2,uniform,0.7966457023060797
30,kd_tree,81,3,2,uniform,0.7966457023060797
31,brute,61,3,2,uniform,0.7966457023060797
32,brute,41,3,2,uniform,0.7966457023060797
33,brute,71,3,2,uniform,0.7966457023060797
34,kd_tree,61,3,2,uniform,0.7966457023060797
35,auto,71,3,2,uniform,0.7966457023060797
36,kd_tree,1,3,2,uniform,0.7966457023060797
37,kd_tree,11,3,2,uniform,0.7966457023060797
38,kd_tree,71,3,2,uniform,0.7966457023060797
39,auto,81,3,2,uniform,0.7966457023060797
40,auto,11,5,2,distance,0.7897449336128581
41,ball_tree,51,5,2,distance,0.7897449336128581
42,kd_tree,41,5,2,distance,0.7897449336128581
43,ball_tree,21,5,2,distance,0.7897449336128581
44,brute,1,5,2,distance,0.7897449336128581
45,kd_tree,61,5,2,distance,0.7897449336128581
46,ball_tree,61,5,2,distance,0.7897449336128581
47,ball_tree,71,5,2,distance,0.7897449336128581
48,kd_tree,91,5,2,distance,0.7897449336128581
49,kd_tree,71,5,2,distance,0.7897449336128581
50,auto,21,5,2,distance,0.7897449336128581
51,ball_tree,31,5,2,distance,0.7897449336128581
52,ball_tree,41,5,2,distance,0.7897449336128581
53,auto,51,5,2,distance,0.7897449336128581
54,auto,41,5,2,distance,0.7897449336128581
55,kd_tree,81,5,2,distance,0.7897449336128581
56,brute,61,5,2,distance,0.7897449336128581
57,kd_tree,51,5,2,distance,0.7897449336128581
58,brute,71,5,2,distance,0.7897449336128581
59,brute,51,5,2,distance,0.7897449336128581
60,brute,41,5,2,distance,0.7897449336128581
61,kd_tree,21,5,2,distance,0.7897449336128581
62,auto,91,5,2,distance,0.7897449336128581
63,auto,1,5,2,distance,0.7897449336128581
64,brute,21,5,2,distance,0.7897449336128581
65,ball_tree,91,5,2,distance,0.7897449336128581
66,auto,81,5,2,distance,0.7897449336128581
67,brute,31,5,2,distance,0.7897449336128581
68,auto,61,5,2,distance,0.7897449336128581
69,kd_tree,1,5,2,distance,0.7897449336128581
70,ball_tree,1,5,2,distance,0.7897449336128581
71,kd_tree,31,5,2,distance,0.7897449336128581
72,ball_tree,11,5,2,distance,0.7897449336128581
73,ball_tree,81,5,2,distance,0.7897449336128581
74,brute,81,5,2,distance,0.7897449336128581
75,brute,91,5,2,distance,0.7897449336128581
76,auto,71,5,2,distance,0.7897449336128581
77,brute,11,5,2,distance,0.7897449336128581
78,kd_tree,11,5,2,distance,0.7897449336128581
79,auto,31,5,2,distance,0.7897449336128581
80,kd_tree,11,7,3,distance,0.7896575821104124
81,auto,31,9,2,distance,0.7896575821104124
82,auto,41,9,2,distance,0.7896575821104124
83,kd_tree,11,9,2,distance,0.7896575821104124
84,kd_tree,51,9,2,distance,0.7896575821104124
